url,type,phase,index,title,title_len,description,desc_len,h1,schema,links_to
/coches/audi-rs6-avant,car,1,True,Alquiler Audi RS6 Avant en Barcelona desde 900 €/día,52,"Alquila el Audi RS6 Avant en Barcelona: 900 € por día, 1.600 € dos días, 5.500 € por semana. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",155,Alquiler Audi RS6 Avant en Barcelona,Product;Offer;BreadcrumbList;FAQPage,/flota/audi;/coches/lamborghini-urus;/coches/porsche-911-carrera-s;/coches/audi-rs3-sportback;/tarifas;/como-funciona;/condiciones-de-alquiler
/coches/porsche-911-cabrio,car,1,True,Alquiler Porsche 911 Cabrio en Barcelona desde 800 €/día,56,"Alquila el Porsche 911 Cabrio (992) en Barcelona: 800 € por día, 4.600 € por semana. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",147,Alquiler Porsche 911 Cabrio (992) en Barcelona,Product;Offer;BreadcrumbList;FAQPage,/flota/porsche;/coches/audi-rs6-avant;/coches/porsche-911-carrera-s;/coches/porsche-cayenne-hybrid;/tarifas;/como-funciona;/condiciones-de-alquiler
/coches/porsche-911-carrera-s,car,1,True,Alquiler Porsche 911 Carrera S en Barcelona desde 700 €/día,59,"Alquila el Porsche 911 Carrera S (991) en Barcelona: 700 € por día, 3.500 € por semana. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",150,Alquiler Porsche 911 Carrera S (991) en Barcelona,Product;Offer;BreadcrumbList;FAQPage,/flota/porsche;/coches/audi-rs6-avant;/coches/porsche-911-cabrio;/coches/mercedes-amg-a45;/tarifas;/como-funciona;/condiciones-de-alquiler
/coches/porsche-cayenne-hybrid,car,1,True,Alquiler Porsche Cayenne Hybrid en Barcelona desde 700 €/día,60,"Alquila el Porsche Cayenne Hybrid en Barcelona: 700 € por día, 3.500 € por semana. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",145,Alquiler Porsche Cayenne Hybrid en Barcelona,Product;Offer;BreadcrumbList;FAQPage,/flota/porsche;/coches/mercedes-amg-g63;/coches/lamborghini-urus;/coches/range-rover-velar;/tarifas;/como-funciona;/condiciones-de-alquiler
/coches/mercedes-amg-a45,car,1,True,Alquiler Mercedes-AMG A45 S en Barcelona desde 450 €/día,56,"Alquila el Mercedes-AMG A45 S en Barcelona: 450 € por día, 800 € dos días, 2.000 € por semana. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",157,Alquiler Mercedes-AMG A45 S en Barcelona,Product;Offer;BreadcrumbList;FAQPage,/flota/mercedes-amg;/coches/audi-rs3-sportback;/coches/audi-rsq3;/coches/volkswagen-golf-r;/tarifas;/como-funciona;/condiciones-de-alquiler
/coches/audi-rs3-sportback,car,1,True,Alquiler Audi RS3 Sportback en Barcelona desde 450 €/día,56,"Alquila el Audi RS3 Sportback en Barcelona: 450 € por día, 800 € dos días, 2.000 € por semana. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",157,Alquiler Audi RS3 Sportback en Barcelona,Product;Offer;BreadcrumbList;FAQPage,/flota/audi;/coches/mercedes-amg-a45;/coches/audi-rsq3;/coches/volkswagen-golf-r;/tarifas;/como-funciona;/condiciones-de-alquiler
/coches/audi-rsq3,car,1,True,Alquiler Audi RS Q3 en Barcelona desde 450 €/día | Serres Drive,63,"Alquila el Audi RS Q3 en Barcelona: 450 € por día, 800 € dos días, 2.000 € por semana. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",149,Alquiler Audi RS Q3 en Barcelona,Product;Offer;BreadcrumbList;FAQPage,/flota/audi;/coches/mercedes-amg-a45;/coches/audi-rs3-sportback;/coches/range-rover-velar;/tarifas;/como-funciona;/condiciones-de-alquiler
/coches/volkswagen-golf-r,car,1,True,Alquiler Volkswagen Golf 8.5 R en Barcelona desde 400 €/día,59,"Alquila el Volkswagen Golf 8.5 R en Barcelona: 400 € por día, 750 € dos días, 1.800 € por semana. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",160,Alquiler Volkswagen Golf 8.5 R en Barcelona,Product;Offer;BreadcrumbList;FAQPage,/flota/volkswagen;/coches/mercedes-amg-a45;/coches/audi-rs3-sportback;/coches/mercedes-a200-4matic;/tarifas;/como-funciona;/condiciones-de-alquiler
/coches/range-rover-velar,car,1,True,Alquiler Range Rover Velar en Barcelona desde 350 €/día,55,"Alquila el Range Rover Velar en Barcelona: 350 € por día, 700 € dos días, 1.800 € por semana. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",156,Alquiler Range Rover Velar en Barcelona,Product;Offer;BreadcrumbList;FAQPage,/flota/range-rover;/coches/porsche-cayenne-hybrid;/coches/audi-rsq3;/coches/mercedes-glc;/tarifas;/como-funciona;/condiciones-de-alquiler
/coches/mercedes-glc,car,1,True,Alquiler Mercedes GLC en Barcelona desde 200 €/día | Serres Drive,65,"Alquila el Mercedes GLC en Barcelona: 200 € por día, 350 € dos días, 1.000 € por semana. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",151,Alquiler Mercedes GLC en Barcelona,Product;Offer;BreadcrumbList;FAQPage,/flota/mercedes-amg;/coches/audi-rsq3;/coches/range-rover-velar;/coches/mercedes-a200-4matic;/tarifas;/como-funciona;/condiciones-de-alquiler
/coches/mercedes-a200-4matic,car,1,True,Alquiler Mercedes A200 4Matic en Barcelona desde 150 €/día,58,"Alquila el Mercedes A200 4Matic en Barcelona: 150 € por día, 250 € dos días, 900 € por semana. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",157,Alquiler Mercedes A200 4Matic en Barcelona,Product;Offer;BreadcrumbList;FAQPage,/flota/mercedes-amg;/coches/mercedes-amg-a45;/coches/volkswagen-golf-r;/coches/mercedes-glc;/tarifas;/como-funciona;/condiciones-de-alquiler
/tarifas,tarifas,1,True,Tarifas de alquiler de coches de lujo en Barcelona | Serres Drive,65,"Precios por 1, 2 y 3 días, semana y mes de los 13 coches: desde 150 €/día (Mercedes A200) hasta el Lamborghini Urus. Fianza desde 2.000 €. Sin sorpresas.",153,Tarifas de alquiler,Table;BreadcrumbList,/coches/mercedes-amg-g63;/coches/lamborghini-urus;/coches/audi-rs6-avant;/coches/porsche-911-cabrio;/coches/porsche-911-carrera-s;/coches/porsche-cayenne-hybrid;/coches/mercedes-amg-a45;/coches/audi-rs3-sportback;/coches/audi-rsq3;/coches/volkswagen-golf-r;/coches/range-rover-velar;/coches/mercedes-glc;/coches/mercedes-a200-4matic;/como-funciona;/condiciones-de-alquiler
/como-funciona,como-funciona,1,True,"Cómo funciona: elige, reserva, entrega y conduce | Serres Drive",63,"Cuatro pasos: elige tu coche, reserva por WhatsApp, recíbelo en tu hotel, casa o aeropuerto (100 €) y conduce. Fianza desde 2.000 €. Condiciones claras.",152,Cómo funciona,HowTo;FAQPage;BreadcrumbList,/flota;/tarifas;/condiciones-de-alquiler;/contacto
/condiciones-de-alquiler,condiciones,1,True,Condiciones y requisitos de alquiler | Serres Drive,51,"Desde 18 años con carnet en vigor, sin antigüedad mínima. 150 km por día incluidos. Fianza desde 2.000 €. Entrega en hotel o aeropuerto por 100 €.",146,Condiciones de alquiler,FAQPage;BreadcrumbList,/como-funciona;/tarifas;/contacto
/por-que-serres,about,1,True,Por qué Serres Drive | Alquiler de coches de lujo en Barcelona,62,Solo publicamos los coches que puedes reservar hoy. Cada vehículo pasa por el detailing de Serres Wrap Center antes de la entrega. Reserva directa por WhatsApp.,160,Por qué Serres Drive,AboutPage;BreadcrumbList,/flota;/como-funciona;/contacto
/contacto,contacto,1,True,"Contacto | Serres Drive, alquiler de coches de lujo en Barcelona",64,"Escríbenos por WhatsApp con el coche y las fechas y te confirmamos disponibilidad al momento. Sant Cugat del Vallès, entregas en toda el área de Barcelona.",155,Contacto,AutoRental;ContactPage;BreadcrumbList,/flota;/como-funciona
/bodas,landing,2,True,"Coche de lujo para bodas en Barcelona, sin chófer | Serres Drive",64,"Porsche 911 Cabrio, Lamborghini Urus o Mercedes-AMG G63 para tu boda: tú conduces. Entrega y recogida en el lugar de la boda por 100 €. Precios por día.",152,Coche de lujo para tu boda en Barcelona,Service;FAQPage;BreadcrumbList,/coches/porsche-911-cabrio;/coches/lamborghini-urus;/coches/mercedes-amg-g63;/flota;/tarifas
/eventos-y-rodajes,landing,2,True,Coche de lujo para eventos y rodajes en Barcelona | Serres Drive,64,"Porsche, Lamborghini, Mercedes-AMG, Audi y Range Rover para sesiones de fotos, videoclips, rodajes y eventos. Entrega en el lugar del evento por 100 €.",151,"Coches de lujo para eventos, rodajes y sesiones de fotos",Service;FAQPage;BreadcrumbList,/flota;/coches/mercedes-amg-g63;/coches/lamborghini-urus;/coches/porsche-911-carrera-s;/tarifas
/entrega-aeropuerto-barcelona,landing,2,True,Coches de lujo en el aeropuerto de Barcelona | Serres Drive,59,"Recoge tu Porsche, Lamborghini, Mercedes-AMG o Range Rover al aterrizar en El Prat: entrega en la terminal por 100 €. Reserva por WhatsApp antes de volar.",154,Entrega en el aeropuerto de Barcelona-El Prat,Service;FAQPage;BreadcrumbList,/flota;/como-funciona;/tarifas
/politica-de-privacidad,legal,1,True,Política de privacidad | Serres Drive,37,"Cómo tratamos tus datos personales al reservar por WhatsApp o formulario. Responsable, finalidad, derechos y plazos de conservación.",132,Política de privacidad,WebPage,
/politica-de-cookies,legal,1,True,Política de cookies | Serres Drive,34,"Qué cookies usa serresdrive.com (analítica y publicidad de Google), para qué sirven y cómo cambiar tu consentimiento en cualquier momento.",138,Política de cookies,WebPage,
/aviso-legal,legal,1,True,Aviso legal | Serres Drive,26,"Datos identificativos del titular de serresdrive.com, condiciones de uso del sitio, propiedad intelectual y legislación aplicable.",130,Aviso legal,WebPage,
