Campaign,Ad Group,Ad type,Status,Final URL,Path 1,Path 2,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 2,Description 3,Description 4
SD | Por Marca | BCN,Audi,Responsive search ad,Paused,https://serresdrive.com/flota/audi,audi,barcelona,Alquiler Audi Barcelona,1,Audi RS6 desde 900 €/día,,Audi RS3 Sportback: 450 €/día,,Audi RS Q3 desde 450 €/día,,"RS6, RS3 y RS Q3 disponibles",,Reserva por WhatsApp en 2 min,,Entrega en Barcelona: 100 €,,"Precios claros, sin sorpresas",,Fianza desde 2.000 €,,Alquiler por días o semanas,,Desde 18 años con carnet,,Entrega en hotel o aeropuerto,,"Alquila hoy, conduce hoy",,150 km/día incluidos,,Serres Drive · Barcelona,,"Audi RS6 desde 900 €/día, RS3 y RS Q3 desde 450 €/día. Reserva directa por WhatsApp.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Fianza desde 2.000 €.,"Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Por Marca | BCN,Range Rover,Responsive search ad,Paused,https://serresdrive.com/flota/range-rover,range-rover,barcelona,Alquiler Range Rover Barcelona,1,Range Rover Velar: 350 €/día,,Semana de Velar: 1.800 €,,SUV de lujo disponible hoy,,Reserva por WhatsApp en 2 min,,Entrega en Barcelona: 100 €,,"Precios claros, sin sorpresas",,Fianza 2.000 €,,Alquiler por días o semanas,,Desde 18 años con carnet,,Entrega en hotel o aeropuerto,,"Alquila hoy, conduce hoy",,150 km/día incluidos,,Range Rover por días en BCN,,Serres Drive · Barcelona,,"Range Rover Velar: 350 € por día, 700 € 2 días, 1.800 € semana. Reserva por WhatsApp.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Fianza 2.000 €. Sin sorpresas.,"Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Por Modelo Premium | BCN,Mercedes-AMG G63,Responsive search ad,Paused,https://serresdrive.com/coches/mercedes-amg-g63,mercedes-amg,g63,Alquilar Mercedes G63 en BCN,1,Mercedes G63 desde 1.000 €/día,,Semana desde 6.000 €,,2 días por 1.700 €,,Mes completo: 12.000 €,,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega en hotel o aeropuerto,,"Precios claros, sin sorpresas",,Alquiler por días o semanas,,Mercedes-AMG en Barcelona,,Respuesta rápida por WhatsApp,,Desde 18 años con carnet,,150 km/día incluidos,,Flota premium en Sant Cugat,,"Mercedes-AMG G63: 1.000 € por día, 6.000 € por semana. Reserva por WhatsApp.","Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Sin sorpresas.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Por Modelo Premium | BCN,Lamborghini Urus,Responsive search ad,Paused,https://serresdrive.com/coches/lamborghini-urus,lamborghini,urus,Alquilar Lamborghini Urus BCN,1,Urus desde 1.100 €/día,,Semana desde 6.500 €,,2 días por 1.900 €,,Mes completo: 13.000 €,,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega en hotel o aeropuerto,,"Precios claros, sin sorpresas",,Alquiler por días o semanas,,Lamborghini en Barcelona,,Respuesta rápida por WhatsApp,,Desde 18 años con carnet,,150 km/día incluidos,,Flota premium en Sant Cugat,,"Lamborghini Urus: 1.100 € por día, 6.500 € por semana. Reserva por WhatsApp.","Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Sin sorpresas.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Por Modelo Premium | BCN,Audi RS6 Avant,Responsive search ad,Paused,https://serresdrive.com/coches/audi-rs6-avant,audi,avant,Alquilar Audi RS6 en Barcelona,1,Audi RS6 desde 900 €/día,,Semana desde 5.500 €,,2 días por 1.600 €,,Mes completo: 11.000 €,,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega en hotel o aeropuerto,,"Precios claros, sin sorpresas",,Alquiler por días o semanas,,Audi en Barcelona,,Respuesta rápida por WhatsApp,,Desde 18 años con carnet,,150 km/día incluidos,,Flota premium en Sant Cugat,,"Audi RS6 Avant: 900 € por día, 5.500 € por semana. Reserva por WhatsApp.","Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Sin sorpresas.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Por Modelo Premium | BCN,Porsche 911 Cabrio (992),Responsive search ad,Paused,https://serresdrive.com/coches/porsche-911-cabrio,porsche,cabrio,Alquilar 911 Cabrio en BCN,1,911 Cabrio desde 800 €/día,,Semana desde 4.600 €,,2 días por 1.500 €,,Mes completo: 9.000 €,,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega en hotel o aeropuerto,,"Precios claros, sin sorpresas",,Alquiler por días o semanas,,Porsche en Barcelona,,Respuesta rápida por WhatsApp,,Desde 18 años con carnet,,150 km/día incluidos,,Fianza 2.000 €,,"Porsche 911 Cabrio (992): 800 € por día, 4.600 € por semana. Reserva por WhatsApp.","Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Fianza 2.000 €. Sin sorpresas.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Por Modelo Premium | BCN,Porsche 911 Carrera S (991),Responsive search ad,Paused,https://serresdrive.com/coches/porsche-911-carrera-s,porsche,s,Alquilar Porsche 911 en BCN,1,911 Carrera S desde 700 €/día,,Semana desde 3.500 €,,2 días por 1.300 €,,Mes completo: 7.500 €,,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega en hotel o aeropuerto,,"Precios claros, sin sorpresas",,Alquiler por días o semanas,,Porsche en Barcelona,,Respuesta rápida por WhatsApp,,Desde 18 años con carnet,,150 km/día incluidos,,Fianza 2.000 €,,"Porsche 911 Carrera S (991): 700 € por día, 3.500 € por semana. Reserva por WhatsApp.","Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Fianza 2.000 €. Sin sorpresas.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Por Modelo Premium | BCN,Porsche Cayenne Hybrid,Responsive search ad,Paused,https://serresdrive.com/coches/porsche-cayenne-hybrid,porsche,hybrid,Alquilar Porsche Cayenne BCN,1,Cayenne desde 700 €/día,,Semana desde 3.500 €,,2 días por 1.300 €,,Mes completo: 7.500 €,,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega en hotel o aeropuerto,,"Precios claros, sin sorpresas",,Alquiler por días o semanas,,Porsche en Barcelona,,Respuesta rápida por WhatsApp,,Desde 18 años con carnet,,150 km/día incluidos,,Fianza 2.000 €,,"Porsche Cayenne Hybrid: 700 € por día, 3.500 € por semana. Reserva por WhatsApp.","Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Fianza 2.000 €. Sin sorpresas.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Por Modelo Premium | BCN,Mercedes-AMG A45 S,Responsive search ad,Paused,https://serresdrive.com/coches/mercedes-amg-a45,mercedes-amg,a45,Alquilar A45 AMG en Barcelona,1,A45 AMG desde 450 €/día,,Semana desde 2.000 €,,2 días por 800 €,,Mes completo: 5.000 €,,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega en hotel o aeropuerto,,"Precios claros, sin sorpresas",,Alquiler por días o semanas,,Mercedes-AMG en Barcelona,,Respuesta rápida por WhatsApp,,Desde 18 años con carnet,,150 km/día incluidos,,Fianza 2.000 €,,"Mercedes-AMG A45 S: 450 € por día, 2.000 € por semana. Reserva por WhatsApp.","Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Fianza 2.000 €. Sin sorpresas.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Por Modelo Premium | BCN,Audi RS3 Sportback,Responsive search ad,Paused,https://serresdrive.com/coches/audi-rs3-sportback,audi,sportback,Alquilar Audi RS3 en Barcelona,1,Audi RS3 desde 450 €/día,,Semana desde 2.000 €,,2 días por 800 €,,Mes completo: 5.000 €,,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega en hotel o aeropuerto,,"Precios claros, sin sorpresas",,Alquiler por días o semanas,,Audi en Barcelona,,Respuesta rápida por WhatsApp,,Desde 18 años con carnet,,150 km/día incluidos,,Fianza 2.000 €,,"Audi RS3 Sportback: 450 € por día, 2.000 € por semana. Reserva por WhatsApp.","Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Fianza 2.000 €. Sin sorpresas.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Por Modelo Premium | BCN,Audi RS Q3,Responsive search ad,Paused,https://serresdrive.com/coches/audi-rsq3,audi,rsq3,Alquilar Audi RS Q3 en BCN,1,Audi RS Q3 desde 450 €/día,,Semana desde 2.000 €,,2 días por 800 €,,Mes completo: 5.000 €,,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega en hotel o aeropuerto,,"Precios claros, sin sorpresas",,Alquiler por días o semanas,,Audi en Barcelona,,Respuesta rápida por WhatsApp,,Desde 18 años con carnet,,150 km/día incluidos,,Fianza 2.000 €,,"Audi RS Q3: 450 € por día, 2.000 € por semana. Reserva por WhatsApp.","Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Fianza 2.000 €. Sin sorpresas.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Por Modelo Premium | BCN,Volkswagen Golf 8.5 R,Responsive search ad,Paused,https://serresdrive.com/coches/volkswagen-golf-r,volkswagen,r,Alquilar Golf R en Barcelona,1,Golf R desde 400 €/día,,Semana desde 1.800 €,,2 días por 750 €,,Mes completo: 4.500 €,,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega en hotel o aeropuerto,,"Precios claros, sin sorpresas",,Alquiler por días o semanas,,Volkswagen en Barcelona,,Respuesta rápida por WhatsApp,,Desde 18 años con carnet,,150 km/día incluidos,,Fianza 2.000 €,,"Volkswagen Golf 8.5 R: 400 € por día, 1.800 € por semana. Reserva por WhatsApp.","Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Fianza 2.000 €. Sin sorpresas.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Por Modelo Premium | BCN,Range Rover Velar,Responsive search ad,Paused,https://serresdrive.com/coches/range-rover-velar,range-rover,velar,Alquilar Range Rover Velar BCN,1,RR Velar desde 350 €/día,,Semana desde 1.800 €,,2 días por 700 €,,Mes completo: 4.300 €,,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega en hotel o aeropuerto,,"Precios claros, sin sorpresas",,Alquiler por días o semanas,,Range Rover en Barcelona,,Respuesta rápida por WhatsApp,,Desde 18 años con carnet,,150 km/día incluidos,,Fianza 2.000 €,,"Range Rover Velar: 350 € por día, 1.800 € por semana. Reserva por WhatsApp.","Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Fianza 2.000 €. Sin sorpresas.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Por Modelo Económico | BCN,Mercedes GLC,Responsive search ad,Paused,https://serresdrive.com/coches/mercedes-glc,mercedes-amg,glc,Alquilar Mercedes GLC en BCN,1,Mercedes GLC desde 200 €/día,,Semana desde 1.000 €,,2 días por 350 €,,Mes completo: 2.500 €,,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega en hotel o aeropuerto,,"Precios claros, sin sorpresas",,Alquiler por días o semanas,,Mercedes-Benz en Barcelona,,Respuesta rápida por WhatsApp,,Desde 18 años con carnet,,150 km/día incluidos,,Fianza 2.000 €,,"Mercedes GLC: 200 € por día, 1.000 € por semana. Reserva por WhatsApp.","Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Fianza 2.000 €. Sin sorpresas.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Por Modelo Económico | BCN,Mercedes A200 4Matic,Responsive search ad,Paused,https://serresdrive.com/coches/mercedes-a200-4matic,mercedes-amg,4matic,Alquilar Mercedes A200 en BCN,1,A200 4Matic desde 150 €/día,,Semana desde 900 €,,2 días por 250 €,,Mes completo: 1.800 €,,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega en hotel o aeropuerto,,"Precios claros, sin sorpresas",,Alquiler por días o semanas,,Mercedes-Benz en Barcelona,,Respuesta rápida por WhatsApp,,Desde 18 años con carnet,,150 km/día incluidos,,Fianza 2.000 €,,"Mercedes A200 4Matic: 150 € por día, 900 € por semana. Reserva por WhatsApp.","Entrega o recogida en tu hotel, casa o el aeropuerto de El Prat por 100 €.",Desde 18 años con carnet en vigor. 150 km/día incluidos. Fianza 2.000 €. Sin sorpresas.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Ocasiones | BCN,Coche para Boda BCN,Responsive search ad,Paused,https://serresdrive.com/flota,flota,bodas,Coche de Lujo para tu Boda,1,Porsche 911 Cabrio desde 800 €,,Lamborghini Urus: 1.100 €/día,,Mercedes G63 desde 1.000 €/día,,Descapotable disponible,,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega el día de la boda,,"Precios claros, sin sorpresas",,Fianza desde 2.000 €,,"Tú conduces, sin chófer",,"Alquiler por 1, 2 o 3 días",,Desde 18 años con carnet,,150 km/día incluidos,,Serres Drive · Barcelona,,"911 Cabrio, Lamborghini Urus o Mercedes G63 para tu boda. Precios por día en la web.",Alquiler sin conductor: tú conduces. Entrega y recogida en el lugar de la boda por 100 €.,Desde 18 años con carnet en vigor. 150 km/día incluidos. Fianza desde 2.000 €.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Ocasiones | BCN,Sesión de Fotos y Eventos BCN,Responsive search ad,Paused,https://serresdrive.com/flota,flota,eventos,Coche de Lujo para tu Evento,1,Porsche 911 desde 700 €/día,,Mercedes G63 desde 1.000 €/día,,Lamborghini Urus: 1.100 €/día,,"Para fotos, rodajes y eventos",,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,Entrega en el lugar del evento,,"Precios claros, sin sorpresas",,Fianza desde 2.000 €,,"Alquiler por 1, 2 o 3 días",,13 coches disponibles hoy,,Sin trámites largos,,Respuesta rápida por WhatsApp,,Serres Drive · Barcelona,,"Porsche, Lamborghini, Mercedes-AMG, Audi y Range Rover para fotos, rodajes y eventos.","Precios por 1, 2 y 3 días publicados en la web. Fianza desde 2.000 €. Sin sorpresas.",Entrega o recogida en el lugar del evento o estudio por 100 €. Reserva por WhatsApp.,Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
SD | Ocasiones | BCN,Regalo Experiencia BCN,Responsive search ad,Paused,https://serresdrive.com/flota,flota,regalo,Regala un Día en un Deportivo,1,Porsche 911 desde 700 €/día,,Lamborghini Urus: 1.100 €/día,,Audi RS6 desde 900 €/día,,"Un día completo, tú conduces",,Reserva por WhatsApp,,Entrega en Barcelona: 100 €,,"Precios claros, sin sorpresas",,Fianza desde 2.000 €,,Elige el coche y la fecha,,Desde 18 años con carnet,,Entrega en casa u hotel,,150 km/día incluidos,,Deportivos disponibles hoy,,Serres Drive · Barcelona,,"Un día al volante de un Porsche 911, Urus, Audi RS6 o A45 AMG. Precios en la web.","Día completo, sin circuito ni instructor: desde 18 años con carnet, 150 km incluidos.","Entrega o recogida en casa, hotel o el aeropuerto por 100 €. Reserva por WhatsApp.",Escríbenos por WhatsApp con las fechas y te confirmamos disponibilidad al momento.
